Iteration,Action,Payoff,Selection Method
324,1,2,greedy
325,1,2,random
326,1,2,greedy
327,1,2,greedy
328,1,2,greedy
329,1,2,greedy
330,0,0,random
331,1,2,greedy
332,1,6,greedy
333,1,2,greedy
334,1,2,greedy
335,1,2,random
336,1,2,greedy
337,1,2,greedy
338,1,2,greedy
339,1,2,greedy
340,1,2,greedy
341,1,2,greedy
342,1,2,greedy
343,1,2,greedy
344,1,2,greedy
345,1,6,greedy
346,1,2,greedy
347,1,2,greedy
348,1,2,greedy
349,1,2,greedy
350,1,6,greedy
351,1,2,greedy
352,1,2,greedy
353,1,2,greedy
354,1,2,greedy
355,1,2,greedy
356,1,6,greedy
357,1,2,greedy
358,1,2,greedy
359,1,2,greedy
360,0,0,random
361,1,2,greedy
362,1,2,greedy
363,1,2,random
364,1,2,greedy
365,1,2,greedy
366,1,2,greedy
367,1,2,random
368,1,2,greedy
369,1,2,greedy
370,0,0,random
371,1,2,greedy
372,1,2,greedy
373,1,2,greedy
374,1,2,greedy
375,1,2,greedy
376,1,2,greedy
377,1,2,greedy
378,1,2,greedy
379,1,2,greedy
380,1,2,greedy
381,1,2,greedy
382,1,2,greedy
383,1,2,greedy
384,1,2,greedy
385,1,2,greedy
386,1,2,greedy
387,1,2,greedy
388,1,2,greedy
389,1,2,greedy
390,1,2,greedy
391,1,2,greedy
392,1,2,greedy
393,0,0,random
394,1,2,greedy
395,1,2,greedy
396,1,2,greedy
397,1,2,greedy
398,1,2,greedy
399,1,2,greedy
400,0,0,random
401,1,2,greedy
402,1,2,greedy
403,1,2,greedy
404,1,2,greedy
405,1,2,greedy
406,1,2,greedy
407,1,2,greedy
408,1,6,greedy
409,0,0,random
410,1,2,greedy
411,1,2,greedy
412,1,2,random
413,1,2,greedy
414,1,2,greedy
415,1,2,random
416,1,2,greedy
417,1,2,greedy
418,1,2,greedy
419,1,2,random
420,1,2,greedy
421,1,6,greedy
422,1,2,greedy
423,1,2,greedy
424,1,2,greedy
425,1,2,greedy
426,1,2,greedy
427,1,2,greedy
428,1,2,greedy
429,1,2,greedy
430,1,2,greedy
431,1,2,greedy
432,0,0,random
433,1,2,greedy
434,1,2,greedy
435,1,2,greedy
436,1,6,greedy
437,1,2,greedy
438,1,2,greedy
439,1,2,greedy
440,1,2,greedy
441,0,0,random
442,1,2,greedy
443,1,2,greedy
444,1,2,greedy
445,1,2,greedy
446,1,2,greedy
447,1,2,greedy
448,1,2,greedy
449,1,2,greedy
450,1,2,greedy
451,1,2,greedy
452,1,2,greedy
453,1,2,greedy
454,1,2,greedy
455,1,2,greedy
456,1,2,greedy
457,1,2,greedy
458,1,6,greedy
459,1,2,greedy
460,1,2,greedy
461,1,2,greedy
462,1,2,greedy
463,1,2,greedy
464,1,2,greedy
465,1,2,greedy
466,1,2,greedy
467,1,2,greedy
468,1,2,greedy
469,1,2,greedy
470,1,2,greedy
471,1,2,greedy
472,0,0,random
473,1,2,greedy
474,1,2,greedy
475,1,2,greedy
476,1,2,greedy
477,1,2,greedy
478,0,0,random
479,1,2,greedy
480,1,2,greedy
481,1,2,random
482,1,2,greedy
483,1,2,greedy
484,1,2,greedy
485,1,2,greedy
486,1,2,greedy
487,1,2,greedy
488,1,2,greedy
489,1,2,greedy
490,1,2,greedy
491,1,2,greedy
492,1,2,greedy
493,1,2,greedy
494,1,2,greedy
495,1,2,greedy
496,1,2,greedy
497,1,2,greedy
498,0,0,random
499,1,2,greedy
500,1,2,greedy
501,1,2,greedy
502,1,2,greedy
503,1,2,greedy
504,1,2,greedy
505,1,2,greedy
506,1,2,greedy
507,1,2,greedy
508,1,2,greedy
