iter_b,action_b,payoff_b,selection_method_b
324,1,3,greedy
325,1,3,greedy
326,1,3,greedy
327,1,3,greedy
328,1,3,greedy
329,0,5,random
330,1,3,greedy
331,1,3,greedy
332,1,0,greedy
333,1,3,greedy
334,1,3,greedy
335,1,3,greedy
336,1,3,greedy
337,1,3,greedy
338,1,3,greedy
339,1,3,greedy
340,1,3,greedy
341,1,3,greedy
342,1,3,greedy
343,1,3,greedy
344,1,3,greedy
345,1,3,greedy
346,1,0,greedy
347,1,3,greedy
348,1,3,greedy
349,1,3,greedy
350,1,3,greedy
351,1,3,greedy
352,1,3,greedy
353,1,3,greedy
354,1,3,greedy
355,0,5,random
356,1,3,greedy
357,1,3,greedy
358,1,3,greedy
359,1,3,greedy
360,1,3,greedy
361,1,3,greedy
362,1,3,greedy
363,1,3,greedy
364,1,3,greedy
365,1,3,greedy
366,1,3,greedy
367,1,3,greedy
368,1,3,greedy
369,1,3,greedy
370,1,3,greedy
371,1,3,greedy
372,1,3,greedy
373,1,3,greedy
374,1,3,greedy
375,1,3,greedy
376,1,3,greedy
377,1,3,greedy
378,1,3,greedy
379,1,3,greedy
380,1,3,greedy
381,1,3,greedy
382,1,3,greedy
383,1,3,greedy
384,1,3,greedy
385,1,3,greedy
386,1,3,random
387,1,3,greedy
388,1,3,greedy
389,1,3,greedy
390,1,3,random
391,1,3,greedy
392,1,3,greedy
393,1,3,greedy
394,1,3,random
395,1,3,greedy
396,1,3,greedy
397,1,3,greedy
398,1,3,greedy
399,1,3,greedy
400,1,3,greedy
401,1,3,greedy
402,1,3,greedy
403,1,3,greedy
404,1,3,greedy
405,1,3,greedy
406,1,3,greedy
407,1,0,greedy
408,1,3,greedy
409,1,3,greedy
410,1,0,greedy
411,1,3,greedy
412,1,3,greedy
413,1,3,greedy
414,1,3,greedy
415,0,5,random
416,1,3,greedy
417,1,3,greedy
418,1,3,greedy
419,1,3,greedy
420,1,3,greedy
421,1,3,greedy
422,1,0,greedy
423,1,3,greedy
424,1,3,greedy
425,1,3,greedy
426,1,3,greedy
427,1,0,greedy
428,1,3,greedy
429,1,3,greedy
430,1,3,greedy
431,1,3,greedy
432,1,3,greedy
433,1,3,greedy
434,1,3,greedy
435,1,3,greedy
436,1,3,greedy
437,1,3,greedy
438,1,3,greedy
439,1,3,greedy
440,1,3,greedy
441,1,3,greedy
442,1,3,greedy
443,1,3,greedy
444,1,3,greedy
445,1,3,greedy
446,1,3,greedy
447,1,3,greedy
448,1,3,greedy
449,1,3,greedy
450,1,3,greedy
451,1,3,greedy
452,1,3,greedy
453,1,0,greedy
454,1,3,greedy
455,1,3,random
456,1,3,greedy
457,1,3,greedy
458,1,3,greedy
459,1,3,greedy
460,1,3,random
461,1,3,greedy
462,1,3,greedy
463,1,3,greedy
464,1,3,greedy
465,1,3,greedy
466,1,3,greedy
467,1,3,greedy
468,1,3,greedy
469,1,3,greedy
470,1,3,greedy
471,1,3,random
472,1,3,random
473,1,3,greedy
474,1,3,greedy
475,1,3,greedy
476,1,3,greedy
477,0,5,random
478,1,3,greedy
479,1,3,greedy
480,1,0,greedy
481,1,3,greedy
482,0,5,random
483,1,3,random
484,1,3,greedy
485,1,3,greedy
486,1,3,greedy
487,0,5,random
488,1,3,greedy
489,0,5,random
490,1,3,greedy
491,1,3,greedy
492,1,3,random
493,1,3,greedy
494,1,3,greedy
495,1,3,greedy
496,1,3,greedy
497,1,3,greedy
498,1,3,greedy
499,1,3,greedy
500,1,3,greedy
501,1,3,greedy
502,0,5,random
503,1,3,greedy
504,1,3,greedy
505,1,3,random
506,1,3,greedy
507,1,3,greedy
508,1,3,greedy
509,1,3,random
510,1,3,greedy
511,1,3,greedy
512,1,3,greedy
513,1,3,greedy
514,1,3,greedy
515,1,3,greedy
516,1,0,greedy
517,1,3,greedy
518,1,3,greedy
519,1,3,greedy
520,1,3,greedy
521,1,3,greedy
522,1,3,greedy
523,1,3,greedy
524,1,3,greedy
525,1,3,greedy
526,1,0,greedy
527,1,0,greedy
528,1,3,greedy
529,1,3,greedy
530,1,3,greedy
531,1,3,greedy
532,1,3,greedy
533,1,3,greedy
534,1,3,greedy
535,1,3,greedy
536,1,3,greedy
537,1,3,greedy
538,1,3,greedy
539,1,3,greedy
540,1,3,greedy
541,1,3,greedy
542,1,3,greedy
543,1,3,greedy
544,1,3,greedy
545,1,3,greedy
546,1,3,greedy
547,1,3,random
548,1,3,greedy
549,1,3,greedy
550,1,3,greedy
551,1,3,greedy
552,1,3,greedy
553,1,3,greedy
554,1,3,greedy
555,1,0,greedy
556,1,3,greedy
557,1,3,greedy
558,1,3,greedy
559,1,3,greedy
560,1,3,greedy
561,1,3,greedy
562,1,3,greedy
563,1,3,greedy
564,1,3,random
565,1,3,greedy
566,1,3,greedy
567,1,3,greedy
568,1,3,greedy
569,1,3,greedy
570,1,3,greedy
571,1,3,greedy
572,1,3,greedy
573,1,3,random
574,1,3,greedy
575,1,3,greedy
576,0,5,random
577,1,3,greedy
578,1,3,greedy
579,1,3,greedy
580,1,3,greedy
581,1,3,greedy
582,1,3,greedy
583,1,3,greedy
584,1,3,greedy
585,1,3,greedy
586,1,3,greedy
587,1,3,greedy
588,1,3,greedy
589,1,3,greedy
590,0,5,random
591,1,3,greedy
592,1,3,greedy
593,0,5,random
594,1,3,greedy
595,1,3,greedy
596,1,3,greedy
597,1,3,greedy
598,1,3,greedy
599,1,3,greedy
600,1,3,greedy
601,1,3,greedy
602,1,3,greedy
603,1,3,greedy
604,1,3,greedy
605,1,3,greedy
606,0,5,random
607,1,0,greedy
608,1,0,greedy
609,1,0,greedy
610,1,0,greedy
611,1,0,greedy
612,0,0,random
613,1,0,greedy
614,1,0,greedy
615,1,0,greedy
616,0,0,greedy
617,1,0,greedy
618,0,0,greedy
619,1,0,greedy
620,1,0,random
621,0,0,greedy
622,0,0,greedy
623,1,0,greedy
624,0,0,greedy
625,1,0,greedy
626,0,0,greedy
627,1,0,greedy
628,0,0,greedy
629,1,3,greedy
630,1,0,greedy
631,0,0,greedy
632,1,0,greedy
633,0,0,greedy
634,1,0,greedy
635,0,0,greedy
636,1,0,greedy
637,0,0,greedy
638,1,0,random
639,0,0,greedy
640,1,0,greedy
641,0,5,greedy
642,1,0,random
643,0,0,greedy
644,1,0,random
645,0,5,random
646,0,0,greedy
647,0,0,greedy
648,0,0,greedy
649,0,0,greedy
650,1,3,greedy
651,1,3,greedy
652,1,3,greedy
653,1,3,greedy
654,1,3,greedy
655,1,3,greedy
656,1,3,greedy
657,1,3,greedy
658,1,3,greedy
659,1,3,greedy
660,1,3,greedy
661,1,3,greedy
662,1,3,greedy
663,1,3,greedy
664,1,3,greedy
665,1,3,greedy
666,1,3,greedy
667,1,3,greedy
668,1,3,greedy
669,1,3,greedy
670,1,3,greedy
671,1,3,greedy
672,1,3,greedy
673,1,3,greedy
674,1,0,greedy
675,1,3,greedy
676,1,3,greedy
677,1,3,greedy
678,1,3,greedy
679,1,3,greedy
680,1,3,greedy
681,1,3,greedy
682,0,5,random
683,1,3,greedy
684,1,3,greedy
685,1,3,greedy
686,1,3,greedy
687,1,3,random
688,1,3,greedy
689,1,3,greedy
690,1,3,greedy
691,1,3,greedy
692,1,3,greedy
693,1,3,greedy
694,1,3,greedy
695,1,3,greedy
696,1,3,greedy
697,1,0,greedy
698,1,3,greedy
699,0,5,random
700,1,0,greedy
701,1,0,greedy
702,1,0,greedy
703,1,0,greedy
704,1,0,greedy
705,1,0,greedy
706,0,0,greedy
707,1,0,greedy
708,0,0,greedy
709,1,0,greedy
710,0,0,random
711,0,0,random
712,1,0,greedy
713,1,0,greedy
714,0,0,greedy
715,1,0,greedy
716,0,0,random
717,1,0,greedy
718,0,0,greedy
719,1,0,greedy
720,0,0,greedy
721,1,0,greedy
722,0,0,greedy
723,1,0,greedy
724,0,0,greedy
725,1,0,greedy
726,0,0,greedy
727,1,0,greedy
728,0,0,greedy
729,1,0,greedy
730,1,0,random
731,0,0,greedy
732,0,0,greedy
733,1,0,greedy
734,0,0,greedy
735,1,0,greedy
736,0,0,random
737,1,3,greedy
738,1,3,greedy
739,1,3,greedy
740,1,3,greedy
741,1,3,greedy
742,1,3,greedy
743,1,3,greedy
744,1,3,greedy
745,1,3,greedy
746,1,3,greedy
747,1,3,greedy
748,1,3,greedy
749,1,3,greedy
750,1,3,greedy
751,1,3,greedy
752,1,3,greedy
753,1,3,greedy
754,1,3,greedy
755,1,3,greedy
756,1,0,greedy
757,1,3,greedy
758,1,3,greedy
759,1,3,greedy
760,1,3,greedy
761,1,3,greedy
762,1,3,greedy
763,1,0,greedy
764,1,0,greedy
765,1,0,random
766,1,0,greedy
767,1,0,greedy
768,1,0,greedy
769,1,0,greedy
770,1,0,greedy
771,1,0,greedy
772,1,3,greedy
773,0,0,random
774,1,0,greedy
775,1,0,greedy
776,0,0,greedy
777,1,0,greedy
778,0,0,greedy
779,1,0,greedy
780,0,5,greedy
781,0,5,greedy
782,0,0,greedy
783,0,0,greedy
784,0,0,greedy
785,0,5,greedy
786,0,0,greedy
787,0,0,greedy
788,1,0,greedy
789,0,0,greedy
790,1,0,greedy
791,0,0,greedy
792,1,0,random
793,0,0,greedy
794,1,0,greedy
795,0,0,greedy
796,1,0,greedy
797,0,0,greedy
798,1,0,greedy
799,0,0,greedy
800,1,0,greedy
801,0,0,greedy
802,1,3,greedy
