iter_b,zero_prob_b,one_prob_b
319,0.09,0.91
320,0.09,0.91
321,0.09,0.91
322,0.09,0.91
323,0.09,0.91
324,0.09,0.91
325,0.09,0.91
326,0.09,0.91
327,0.09,0.91
328,0.09,0.91
329,0.09,0.91
330,0.09,0.91
331,0.09,0.91
332,0.09,0.91
333,0.09,0.91
334,0.09,0.91
335,0.09,0.91
336,0.09,0.91
337,0.09,0.91
338,0.09,0.91
339,0.09,0.91
340,0.09,0.91
341,0.09,0.91
342,0.08,0.92
343,0.08,0.92
344,0.08,0.92
345,0.08,0.92
346,0.08,0.92
347,0.08,0.92
348,0.08,0.92
349,0.08,0.92
350,0.08,0.92
351,0.08,0.92
352,0.08,0.92
353,0.08,0.92
354,0.08,0.92
355,0.08,0.92
356,0.08,0.92
357,0.08,0.92
358,0.08,0.92
359,0.08,0.92
360,0.08,0.92
361,0.08,0.92
362,0.08,0.92
363,0.08,0.92
364,0.08,0.92
365,0.08,0.92
366,0.08,0.92
367,0.08,0.92
368,0.08,0.92
369,0.08,0.92
370,0.08,0.92
371,0.08,0.92
372,0.08,0.92
373,0.08,0.92
374,0.08,0.92
375,0.08,0.92
376,0.08,0.92
377,0.08,0.92
378,0.08,0.92
379,0.08,0.92
380,0.08,0.92
381,0.08,0.92
382,0.08,0.92
383,0.08,0.92
384,0.08,0.92
385,0.08,0.92
386,0.08,0.92
387,0.08,0.92
388,0.08,0.92
389,0.08,0.92
390,0.08,0.92
391,0.08,0.92
392,0.08,0.92
393,0.08,0.92
394,0.08,0.92
395,0.08,0.92
396,0.08,0.92
397,0.08,0.92
398,0.08,0.92
399,0.08,0.92
400,0.07,0.93
401,0.07,0.93
402,0.07,0.93
403,0.07,0.93
404,0.07,0.93
405,0.07,0.93
406,0.07,0.93
407,0.07,0.93
408,0.07,0.93
409,0.07,0.93
410,0.07,0.93
411,0.07,0.93
412,0.07,0.93
413,0.07,0.93
414,0.07,0.93
415,0.07,0.93
416,0.07,0.93
417,0.07,0.93
418,0.07,0.93
419,0.07,0.93
420,0.07,0.93
421,0.07,0.93
422,0.07,0.93
423,0.07,0.93
424,0.07,0.93
425,0.07,0.93
426,0.07,0.93
427,0.07,0.93
428,0.07,0.93
429,0.07,0.93
430,0.07,0.93
431,0.07,0.93
432,0.07,0.93
433,0.07,0.93
434,0.07,0.93
435,0.07,0.93
436,0.07,0.93
437,0.07,0.93
438,0.07,0.93
439,0.07,0.93
440,0.07,0.93
441,0.07,0.93
442,0.07,0.93
443,0.07,0.93
444,0.07,0.93
445,0.07,0.93
446,0.07,0.93
447,0.07,0.93
448,0.07,0.93
449,0.07,0.93
450,0.07,0.93
451,0.07,0.93
452,0.07,0.93
453,0.07,0.93
454,0.07,0.93
455,0.07,0.93
456,0.07,0.93
457,0.07,0.93
458,0.07,0.93
459,0.07,0.93
460,0.07,0.93
461,0.07,0.93
462,0.06,0.94
463,0.06,0.94
464,0.06,0.94
465,0.06,0.94
466,0.06,0.94
467,0.06,0.94
468,0.06,0.94
469,0.06,0.94
470,0.06,0.94
471,0.06,0.94
472,0.06,0.94
473,0.07,0.93
474,0.07,0.93
475,0.07,0.93
476,0.07,0.93
477,0.07,0.93
478,0.07,0.93
479,0.07,0.93
480,0.07,0.93
481,0.07,0.93
482,0.07,0.93
483,0.07,0.93
484,0.07,0.93
485,0.07,0.93
486,0.07,0.93
487,0.07,0.93
488,0.07,0.93
489,0.07,0.93
490,0.07,0.93
491,0.07,0.93
492,0.07,0.93
493,0.07,0.93
494,0.07,0.93
495,0.07,0.93
496,0.07,0.93
497,0.07,0.93
498,0.07,0.93
499,0.07,0.93
500,0.07,0.93
501,0.07,0.93
502,0.07,0.93
503,0.07,0.93
504,0.07,0.93
505,0.07,0.93
506,0.07,0.93
507,0.07,0.93
508,0.06,0.94
509,0.06,0.94
510,0.06,0.94
511,0.06,0.94
512,0.06,0.94
513,0.06,0.94
514,0.06,0.94
515,0.06,0.94
516,0.06,0.94
517,0.06,0.94
518,0.06,0.94
519,0.06,0.94
520,0.06,0.94
521,0.06,0.94
522,0.07,0.93
523,0.07,0.93
524,0.06,0.94
525,0.06,0.94
526,0.06,0.94
527,0.06,0.94
528,0.06,0.94
529,0.06,0.94
530,0.06,0.94
531,0.06,0.94
532,0.06,0.94
533,0.06,0.94
534,0.06,0.94
535,0.06,0.94
536,0.06,0.94
537,0.06,0.94
538,0.06,0.94
539,0.06,0.94
540,0.06,0.94
541,0.06,0.94
542,0.06,0.94
543,0.06,0.94
544,0.06,0.94
545,0.06,0.94
546,0.06,0.94
547,0.06,0.94
548,0.06,0.94
549,0.06,0.94
550,0.06,0.94
551,0.06,0.94
552,0.06,0.94
553,0.06,0.94
554,0.06,0.94
555,0.06,0.94
556,0.06,0.94
557,0.06,0.94
558,0.06,0.94
559,0.06,0.94
560,0.06,0.94
561,0.06,0.94
562,0.06,0.94
563,0.06,0.94
564,0.06,0.94
565,0.06,0.94
566,0.06,0.94
567,0.06,0.94
568,0.06,0.94
569,0.06,0.94
570,0.06,0.94
571,0.06,0.94
572,0.06,0.94
573,0.06,0.94
574,0.06,0.94
575,0.06,0.94
576,0.06,0.94
577,0.06,0.94
578,0.06,0.94
579,0.06,0.94
580,0.06,0.94
581,0.06,0.94
582,0.06,0.94
583,0.06,0.94
584,0.06,0.94
585,0.06,0.94
586,0.06,0.94
587,0.06,0.94
588,0.06,0.94
589,0.06,0.94
590,0.06,0.94
591,0.06,0.94
592,0.06,0.94
593,0.06,0.94
594,0.06,0.94
595,0.06,0.94
596,0.06,0.94
597,0.06,0.94
598,0.06,0.94
599,0.06,0.94
600,0.06,0.94
601,0.06,0.94
602,0.06,0.94
603,0.06,0.94
604,0.06,0.94
605,0.06,0.94
606,0.06,0.94
607,0.06,0.94
608,0.06,0.94
609,0.06,0.94
610,0.06,0.94
611,0.06,0.94
612,0.06,0.94
613,0.06,0.94
614,0.06,0.94
615,0.06,0.94
616,0.06,0.94
617,0.06,0.94
618,0.06,0.94
619,0.06,0.94
620,0.06,0.94
621,0.06,0.94
622,0.06,0.94
623,0.06,0.94
624,0.06,0.94
625,0.06,0.94
626,0.06,0.94
627,0.06,0.94
628,0.06,0.94
629,0.06,0.94
630,0.06,0.94
631,0.06,0.94
632,0.06,0.94
633,0.06,0.94
634,0.06,0.94
635,0.06,0.94
636,0.06,0.94
637,0.06,0.94
638,0.06,0.94
639,0.06,0.94
640,0.06,0.94
641,0.06,0.94
642,0.06,0.94
643,0.06,0.94
644,0.06,0.94
645,0.06,0.94
646,0.06,0.94
647,0.06,0.94
648,0.06,0.94
649,0.06,0.94
650,0.06,0.94
651,0.06,0.94
652,0.06,0.94
653,0.06,0.94
654,0.06,0.94
655,0.06,0.94
656,0.06,0.94
657,0.06,0.94
658,0.06,0.94
659,0.06,0.94
660,0.06,0.94
661,0.06,0.94
662,0.06,0.94
663,0.06,0.94
664,0.06,0.94
665,0.06,0.94
666,0.06,0.94
667,0.06,0.94
668,0.06,0.94
669,0.06,0.94
670,0.06,0.94
671,0.06,0.94
672,0.06,0.94
673,0.06,0.94
674,0.06,0.94
675,0.06,0.94
676,0.06,0.94
677,0.06,0.94
678,0.06,0.94
679,0.06,0.94
680,0.06,0.94
681,0.06,0.94
682,0.06,0.94
683,0.06,0.94
684,0.06,0.94
685,0.06,0.94
686,0.06,0.94
687,0.06,0.94
688,0.06,0.94
689,0.06,0.94
690,0.06,0.94
691,0.06,0.94
692,0.06,0.94
693,0.06,0.94
694,0.06,0.94
695,0.06,0.94
696,0.06,0.94
697,0.06,0.94
698,0.06,0.94
699,0.06,0.94
700,0.06,0.94
701,0.06,0.94
702,0.06,0.94
703,0.06,0.94
704,0.06,0.94
705,0.06,0.94
706,0.06,0.94
707,0.06,0.94
708,0.06,0.94
709,0.06,0.94
710,0.06,0.94
711,0.06,0.94
712,0.06,0.94
713,0.06,0.94
714,0.06,0.94
715,0.06,0.94
716,0.06,0.94
717,0.06,0.94
718,0.06,0.94
719,0.06,0.94
720,0.06,0.94
721,0.06,0.94
722,0.06,0.94
723,0.06,0.94
724,0.06,0.94
725,0.06,0.94
726,0.06,0.94
727,0.06,0.94
728,0.06,0.94
729,0.06,0.94
730,0.06,0.94
731,0.06,0.94
732,0.06,0.94
733,0.06,0.94
734,0.06,0.94
735,0.06,0.94
736,0.06,0.94
737,0.06,0.94
738,0.06,0.94
739,0.06,0.94
740,0.06,0.94
741,0.06,0.94
742,0.06,0.94
